11.04.2023                                                                                                     Saída dinâmica de lista                                                                                                             1


		 Val/MoeACC	MdACC	Def.proj.	Material	  Qtd.entr.	Texto breve material	     Valor/MT	Elemento PEP	Data doc.	Usuário	Nº doc.	Itm	 Valor/MObj	Denominação	Entrado em	Nº doc.ref
		      4,42	BRL	B-0706205	2660003	         1	FITA ISOL PVC 19,0MM AZUL	        4,42	B-0706205-SUPR	09.02.2017	MAESTRO	1048060237		      4,42	Estorno proj.->próp.	09.02.2017	4900284912
		-4,42	BRL	B-0706205	2660003	-1	FITA ISOL PVC 19,0MM AZUL	-4,42	B-0706205-SUPR	12.11.2018	AMA517555	1058734192		-4,42	JOGO 8537084	12.11.2018	4900972856
		      7,78	BRL	B-0706205	2660003	         1	FITA ISOL PVC 19,0MM AZUL	        7,78	B-0706205-SUPR	23.03.2023	STC089575	1087960065		      7,78	SM para projeto	23.03.2023	4900248959
	*			B-0706205	2660003	         1	FITA ISOL PVC 19,0MM AZUL	        7,78
		      4,52	BRL	B-0706205	2660005	         1	FITA ISOL PVC 19,0MM BRANCA	        4,52	B-0706205-SUPR	09.02.2017	MAESTRO	1048060237		      4,52	Estorno proj.->próp.	09.02.2017	4900284912
		-4,52	BRL	B-0706205	2660005	-1	FITA ISOL PVC 19,0MM BRANCA	-4,52	B-0706205-SUPR	09.01.2020	EPC532866	1065452803		-4,52	DM para projeto	09.01.2020	4900013780
		      7,09	BRL	B-0706205	2660005	         1	FITA ISOL PVC 19,0MM BRANCA	        7,09	B-0706205-SUPR	23.03.2023	STC089575	1087960065		      7,09	SM para projeto	23.03.2023	4900248959
	*			B-0706205	2660005	         1	FITA ISOL PVC 19,0MM BRANCA	        7,09
		      4,61	BRL	B-0706205	2660008	         1	FITA ISOL PVC 19,0MM MARROM	        4,61	B-0706205-SUPR	09.02.2017	MAESTRO	1048060237		      4,61	Estorno proj.->próp.	09.02.2017	4900284912
		-4,61	BRL	B-0706205	2660008	-1	FITA ISOL PVC 19,0MM MARROM	-4,61	B-0706205-SUPR	09.01.2020	EPC532866	1065452803		-4,61	DM para projeto	09.01.2020	4900013780
		      7,15	BRL	B-0706205	2660008	         1	FITA ISOL PVC 19,0MM MARROM	        7,15	B-0706205-SUPR	23.03.2023	STC089575	1087960065		      7,15	SM para projeto	23.03.2023	4900248959
	*			B-0706205	2660008	         1	FITA ISOL PVC 19,0MM MARROM	        7,15
		  1.813,10	BRL	B-0706205	3300012	         2	POSTE CONCRETO DT  9/400 29F	    1.813,10	B-0706205-SUPR	23.02.2023	STC089575	1087132316		  1.813,10	SM p/projeto-concret	23.02.2023	4900159128
	*			B-0706205	3300012	         2	POSTE CONCRETO DT  9/400 29F	    1.813,10
		 16.768,31	BRL	B-0706205	3300082	        10	POSTE CONCRETO DT 12/600 44F	   16.768,31	B-0706205-SUPR	13.03.2023	STC089575	1087642867		 16.768,31	SM p/projeto-concret	13.03.2023	4900211183
	*			B-0706205	3300082	        10	POSTE CONCRETO DT 12/600 44F	   16.768,31
		  6.132,81	BRL	B-0706205	3300109	         5	POSTE CONCRETO DT 14/600 44F	    6.132,81	B-0706205-SUPR	29.08.2017	CLB154245	1051871556		  6.132,81	Estorno proj.->próp.	29.08.2017	4902394573
		-6.132,80	BRL	B-0706205	3300109	-5	POSTE CONCRETO DT 14/600 44F	-6.132,80	B-0706205-SUPR	18.10.2019	EPC532866	1064209619		-6.132,80	DM p/projeto-concret	18.10.2019	4900866007
	*			B-0706205	3300109	         0	POSTE CONCRETO DT 14/600 44F	        0,01
		  1.797,96	BRL	B-0706205	3302082	         1	POSTE CONCRETO CIRCULAR 11/1000	    1.797,96	B-0706205-SUPR	21.06.2017	CLB154245	1050295854		  1.797,96	Estorno proj.->próp.	21.06.2017	4901490170
		-1.797,96	BRL	B-0706205	3302082	-1	POSTE CONCRETO CIRCULAR 11/1000	-1.797,96	B-0706205-SUPR	17.10.2019	EPC532866	1064191743		-1.797,96	DM p/projeto-concret	17.10.2019	4900862548
	*			B-0706205	3302082	         0	POSTE CONCRETO CIRCULAR 11/1000	        0,00
		  8.229,58	BRL	B-0706205	3302085	         2	POSTE CONCRETO CIRCULAR 12/1500	    8.229,58	B-0706205-SUPR	17.03.2023	STC089575	1087751393		  8.229,58	SM p/projeto-concret	17.03.2023	4900232850
	*			B-0706205	3302085	         2	POSTE CONCRETO CIRCULAR 12/1500	    8.229,58
		  3.436,28	BRL	B-0706205	3303032	         1	POSTE CONC CIRC        13/1600	    3.436,28	B-0706205-SUPR	07.03.2017	CLB055506	1048472424		  3.436,28	Estorno proj.->próp.	07.03.2017	4900467642
		-3.436,28	BRL	B-0706205	3303032	-1	POSTE CONC CIRC        13/1600	-3.436,28	B-0706205-SUPR	09.01.2020	EPC398505	1065439074		-3.436,28	DM p/projeto-concret	09.01.2020	4900010129
	*			B-0706205	3303032	         0	POSTE CONC CIRC        13/1600	        0,00
		-71,64	BRL	B-0706205	3310001	-1	CRUZETA CONC T    2400MM  200DAN	-71,64	B-0706205-SUPR	07.02.2020	AMA023574	1065954570		-71,64	JOGO COM A RESERVA 921- 9540154	07.02.2020	4900088034
		     71,64	BRL	B-0706205	3310001	         1	CRUZETA CONC T    2400MM  200DAN	       71,64	B-0706205-SUPR	06.02.2020	AMA023574	1065946552		     71,64	JOGO COM A RESERVA 922 - 9537843	06.02.2020	4900086638
		-71,80	BRL	B-0706205	3310001	-1	CRUZETA CONC T    2400MM  200DAN	-71,80	B-0706205-MATR	17.01.2020	EPC398505	1065521797		-71,80	B0706205MATR	17.01.2020	4900033507
		     71,80	BRL	B-0706205	3310001	         1	CRUZETA CONC T    2400MM  200DAN	       71,80	B-0706205-MATR	31.05.2020	CLB153699	1067387049		     71,80	Doctos Razão - Material	18.05.2020	100987921
	*			B-0706205	3310001	         0	CRUZETA CONC T    2400MM  200DAN	        0,00
		    877,50	BRL	B-0706205	3310007	        14	CRUZETA CONC RET  2400MM  200DAN	      877,50	B-0706205-SUPR	05.04.2017	CLB154245	1049060438		    877,50	Estorno proj.->próp.	05.04.2017	4900765336
		-376,08	BRL	B-0706205	3310007	-6	CRUZETA CONC RET  2400MM  200DAN	-376,08	B-0706205-SUPR	17.10.2019	EPC532866	1064191742		-376,08	DM p/projeto-concret	17.10.2019	4900862547
		-501,44	BRL	B-0706205	3310007	-8	CRUZETA CONC RET  2400MM  200DAN	-501,44	B-0706205-SUPR	14.11.2019	EPC532866	1064648927		-501,44	DM p/projeto-concret	14.11.2019	4900949598
		    210,20	BRL	B-0706205	3310007	         3	CRUZETA CONC RET  2400MM  200DAN	      210,20	B-0706205-SUPR	05.02.2020	AMA094543	1065926903		    210,20	JOGO COM A RESERVA 922 - 9530910	05.02.2020	4900083568
		-210,21	BRL	B-0706205	3310007	-3	CRUZETA CONC RET  2400MM  200DAN	-210,21	B-0706205-SUPR	04.09.2020	EPC532866	1069097283		-210,21	DM p/projeto-concret	04.09.2020	4900594927
		-211,15	BRL	B-0706205	3310007	-3	CRUZETA CONC RET  2400MM  200DAN	-211,15	B-0706205-MATR	17.01.2020	EPC398505	1065521797		-211,15	B0706205MATR	17.01.2020	4900033507
		    211,15	BRL	B-0706205	3310007	         3	CRUZETA CONC RET  2400MM  200DAN	      211,15	B-0706205-MATR	31.05.2020	CLB153699	1067387049		    211,15	Doctos Razão - Material	18.05.2020	100987921
	*			B-0706205	3310007	         0	CRUZETA CONC RET  2400MM  200DAN	-0,03
		    185,07	BRL	B-0706205	3310009	         2	CRUZETA CONC T    2400MM  400DAN	      185,07	B-0706205-SUPR	05.04.2017	CLB154245	1049060438		    185,07	Estorno proj.->próp.	05.04.2017	4900765336
		-185,08	BRL	B-0706205	3310009	-2	CRUZETA CONC T    2400MM  400DAN	-185,08	B-0706205-SUPR	25.11.2019	EPC042500	1064824173		-185,08	DM p/projeto-concret	25.11.2019	4900976491
		-417,40	BRL	B-0706205	3310009	-4	CRUZETA CONC T    2400MM  400DAN	-417,40	B-0706205-SUPR	07.02.2020	AMA023574	1065954570		-417,40	JOGO COM A RESERVA 921- 9540154	07.02.2020	4900088034
		    417,41	BRL	B-0706205	3310009	         4	CRUZETA CONC T    2400MM  400DAN	      417,41	B-0706205-SUPR	06.02.2020	AMA023574	1065946552		    417,41	JOGO COM A RESERVA 922 - 9537843	06.02.2020	4900086638
		    317,38	BRL	B-0706205	3310009	         2	CRUZETA CONC T    2400MM  400DAN	      317,38	B-0706205-SUPR	08.03.2023	STC967501	1087569516		    317,38	SM p/projeto-concret	08.03.2023	4900200320
		    317,38	BRL	B-0706205	3310009	         2	CRUZETA CONC T    2400MM  400DAN	      317,38	B-0706205-SUPR	08.03.2023	STC967501	1087569516		    317,38	SM p/projeto-concret	08.03.2023	4900200320
		    317,38	BRL	B-0706205	3310009	         2	CRUZETA CONC T    2400MM  400DAN	      317,38	B-0706205-SUPR	08.03.2023	STC967501	1087569516		    317,38	SM p/projeto-concret	08.03.2023	4900200320
		    317,38	BRL	B-0706205	3310009	         2	CRUZETA CONC T    2400MM  400DAN	      317,38	B-0706205-SUPR	08.03.2023	STC967501	1087569516		    317,38	SM p/projeto-concret	08.03.2023	4900200320
		    158,69	BRL	B-0706205	3310009	         1	CRUZETA CONC T    2400MM  400DAN	      158,69	B-0706205-SUPR	08.03.2023	STC967501	1087569516		    158,69	SM p/projeto-concret	08.03.2023	4900200320
		  1.109,24	BRL	B-0706205	3310009	         7	CRUZETA CONC T    2400MM  400DAN	    1.109,24	B-0706205-SUPR	13.03.2023	STC089575	1087642868		  1.109,24	SM p/projeto-concret	13.03.2023	4900211184
		    633,85	BRL	B-0706205	3310009	         4	CRUZETA CONC T    2400MM  400DAN	      633,85	B-0706205-SUPR	13.03.2023	STC673030	1087639847		    633,85	SM p/projeto-concret	13.03.2023	4900212461
		-419,08	BRL	B-0706205	3310009	-4	CRUZETA CONC T    2400MM  400DAN	-419,08	B-0706205-MATR	17.01.2020	EPC398505	1065521797		-419,08	B0706205MATR	17.01.2020	4900033507
		    419,08	BRL	B-0706205	3310009	         4	CRUZETA CONC T    2400MM  400DAN	      419,08	B-0706205-MATR	31.05.2020	CLB153699	1067387049		    419,08	Doctos Razão - Material	18.05.2020	100987921
	*			B-0706205	3310009	        20	CRUZETA CONC T    2400MM  400DAN	    3.171,30
		  1.089,88	BRL	B-0706205	3310021	        10	CRUZETA CONC  T 1900 MM 350DAN	    1.089,88	B-0706205-SUPR	10.04.2023	STC089575	1088467450		  1.089,88	SM para projeto	10.04.2023	4900294919
	*			B-0706205	3310021	        10	CRUZETA CONC  T 1900 MM 350DAN	    1.089,88
		     77,76	BRL	B-0706205	3324021	         5	PLACA CONC ESTAI 400 F22	       77,76	B-0706205-SUPR	09.03.2017	CLB055506	1048516879		     77,76	Estorno proj.->próp.	09.03.2017	4900492449
		-77,75	BRL	B-0706205	3324021	-5	PLACA CONC ESTAI 400 F22	-77,75	B-0706205-SUPR	12.12.2019	EPC532866	1065076906		-77,75	DM p/projeto-concret	12.12.2019	4901021431
	*			B-0706205	3324021	         0	PLACA CONC ESTAI 400 F22	        0,01
		    162,58	BRL	B-0706205	3340008	         1	CRUZETA FIBRA T 90X90 2,0M	      162,58	B-0706205-SUPR	24.03.2023	STC089575	1088005610		    162,58	SM para projeto	24.03.2023	4900254555
	*			B-0706205	3340008	         1	CRUZETA FIBRA T 90X90 2,0M	      162,58
		    329,12	BRL	B-0706205	3410030	        10	MAO FRANCESA PERFIL ACO 48X 5,0X 1971MM	      329,12	B-0706205-SUPR	09.02.2017	MAESTRO	1048060237		    329,12	Estorno proj.->próp.	09.02.2017	4900284912
		-329,10	BRL	B-0706205	3410030	-10	MAO FRANCESA PERFIL ACO 48X 5,0X 1971MM	-329,10	B-0706205-SUPR	05.12.2019	EPC415509	1065001219		-329,10	DM para projeto	05.12.2019	4901002815
		    329,10	BRL	B-0706205	3410030	        10	MAO FRANCESA PERFIL ACO 48X 5,0X 1971MM	      329,10	B-0706205-SUPR	05.12.2019	EPC415509	1065001221		    329,10	DM para projeto	05.12.2019	4901002817
		-329,10	BRL	B-0706205	3410030	-10	MAO FRANCESA PERFIL ACO 48X 5,0X 1971MM	-329,10	B-0706205-SUPR	09.01.2020	EPC398505	1065446688		-329,10	DM para projeto	09.01.2020	4900011304
		    458,86	BRL	B-0706205	3410030	        10	MAO FRANCESA PERFIL ACO 48X 5,0X 1971MM	      458,86	B-0706205-SUPR	05.04.2023	STC089575	1088420448		    458,86	SM para projeto	05.04.2023	4900287516
	*			B-0706205	3410030	        10	MAO FRANCESA PERFIL ACO 48X 5,0X 1971MM	      458,88
		     36,46	BRL	B-0706205	3410080	         8	MAO FRANCESA PLANA ACO  710MM	       36,46	B-0706205-SUPR	24.02.2017	MAESTRO	1048343612		     36,46	Estorno proj.->próp.	24.02.2017	4900412612
		     11,10	BRL	B-0706205	3410080	         2	MAO FRANCESA PLANA ACO  710MM	       11,10	B-0706205-SUPR	18.12.2018	AMA204502	1059352524		     11,10	SM para projeto	18.12.2018	4901075000
		-9,12	BRL	B-0706205	3410080	-2	MAO FRANCESA PLANA ACO  710MM	-9,12	B-0706205-SUPR	19.03.2019	EPC467571	1060711603		-9,12	DM para projeto	19.03.2019	4900196255
		-27,36	BRL	B-0706205	3410080	-6	MAO FRANCESA PLANA ACO  710MM	-27,36	B-0706205-SUPR	09.01.2020	EPC398505	1065446688		-27,36	DM para projeto	09.01.2020	4900011304
		-11,10	BRL	B-0706205	3410080	-2	MAO FRANCESA PLANA ACO  710MM	-11,10	B-0706205-SUPR	09.01.2020	EPC398505	1065446688		-11,10	DM para projeto	09.01.2020	4900011304
		     75,14	BRL	B-0706205	3410080	         8	MAO FRANCESA PLANA ACO  710MM	       75,14	B-0706205-SUPR	23.03.2023	STC089575	1087960065		     75,14	SM para projeto	23.03.2023	4900248959
	*			B-0706205	3410080	         8	MAO FRANCESA PLANA ACO  710MM	       75,12
		     12,71	BRL	B-0706205	3416075	         1	CINTA POSTE CIRC ACO CARB  200,0MM	       12,71	B-0706205-SUPR	18.12.2018	AMA204502	1059352524		     12,71	SM para projeto	18.12.2018	4901075000
		-12,71	BRL	B-0706205	3416075	-1	CINTA POSTE CIRC ACO CARB  200,0MM	-12,71	B-0706205-SUPR	19.03.2019	EPC467571	1060711603		-12,71	DM para projeto	19.03.2019	4900196255
	*			B-0706205	3416075	         0	CINTA POSTE CIRC ACO CARB  200,0MM	        0,00
		     39,81	BRL	B-0706205	3416080	         3	CINTA POSTE CIRC ACO CARB  220,0MM	       39,81	B-0706205-SUPR	18.12.2018	AMA204502	1059352524		     39,81	SM para projeto	18.12.2018	4901075000
		-39,81	BRL	B-0706205	3416080	-3	CINTA POSTE CIRC ACO CARB  220,0MM	-39,81	B-0706205-SUPR	19.03.2019	EPC467571	1060711603		-39,81	DM para projeto	19.03.2019	4900196255
	*			B-0706205	3416080	         0	CINTA POSTE CIRC ACO CARB  220,0MM	        0,00
		     15,42	BRL	B-0706205	3416090	         1	CINTA POSTE CIRC ACO CARB       240,0MM	       15,42	B-0706205-SUPR	18.12.2018	AMA204502	1059352521		     15,42	JOGO COM 8617829	18.12.2018	4901074957
		-15,42	BRL	B-0706205	3416090	-1	CINTA POSTE CIRC ACO CARB       240,0MM	-15,42	B-0706205-SUPR	08.01.2020	EPC398505	1065436913		-15,42	JOGO COM 8617829	08.01.2020	4900010183
	*			B-0706205	3416090	         0	CINTA POSTE CIRC ACO CARB       240,0MM	        0,00
		     69,01	BRL	B-0706205	3416105	         5	CINTA POSTE CIRC ACO CARB   280,0MM	       69,01	B-0706205-SUPR	09.02.2017	MAESTRO	1048060237		     69,01	Estorno proj.->próp.	09.02.2017	4900284912
		-69,00	BRL	B-0706205	3416105	-5	CINTA POSTE CIRC ACO CARB   280,0MM	-69,00	B-0706205-SUPR	09.01.2020	EPC398505	1065446688		-69,00	DM para projeto	09.01.2020	4900011304
		     96,06	BRL	B-0706205	3416105	         5	CINTA POSTE CIRC ACO CARB   280,0MM	       96,06	B-0706205-SUPR	23.03.2023	STC089575	1087984964		     96,06	SM para projeto	23.03.2023	4900252169
	*			B-0706205	3416105	         5	CINTA POSTE CIRC ACO CARB   280,0MM	       96,07
		     15,57	BRL	B-0706205	3416115	         1	CINTA POSTE CIRC ACO CARB  300,0MM	       15,57	B-0706205-SUPR	08.02.2017	MAESTRO	1048045209		     15,57	Estorno proj.->próp.	08.02.2017	4900278026
		     31,14	BRL	B-0706205	3416115	         2	CINTA POSTE CIRC ACO CARB  300,0MM	       31,14	B-0706205-SUPR	07.02.2017	MAESTRO	1048044148		     31,14	Estorno proj.->próp.	07.02.2017	4900276625
		-46,71	BRL	B-0706205	3416115	-3	CINTA POSTE CIRC ACO CARB  300,0MM	-46,71	B-0706205-SUPR	09.01.2020	EPC532866	1065452803		-46,71	DM para projeto	09.01.2020	4900013780
		     71,00	BRL	B-0706205	3416115	         3	CINTA POSTE CIRC ACO CARB  300,0MM	       71,00	B-0706205-SUPR	24.03.2023	STC089575	1088005610		     71,00	SM para projeto	24.03.2023	4900254555
		     47,34	BRL	B-0706205	3416115	         2	CINTA POSTE CIRC ACO CARB  300,0MM	       47,34	B-0706205-SUPR	21.03.2023	STC089575	1087845873		     47,34	SM para projeto	21.03.2023	4900242489
		     71,00	BRL	B-0706205	3416115	         3	CINTA POSTE CIRC ACO CARB  300,0MM	       71,00	B-0706205-SUPR	21.03.2023	STC967501	1087831169		     71,00	SM para projeto	21.03.2023	4900239932
	*			B-0706205	3416115	         8	CINTA POSTE CIRC ACO CARB  300,0MM	      189,34
		    106,52	BRL	B-0706205	3416120	         5	CINTA POSTE CIRC ACO CARB  320,0MM	      106,52	B-0706205-SUPR	21.03.2023	STC089575	1087845873		    106,52	SM para projeto	21.03.2023	4900242489
	*			B-0706205	3416120	         5	CINTA POSTE CIRC ACO CARB  320,0MM	      106,52
		     12,59	BRL	B-0706205	3417025	         2	ARMACAO SECUN ACO CARB 1 ESTR.150X 110MM	       12,59	B-0706205-SUPR	18.02.2017	MAESTRO	1048204978		     12,59	Estorno proj.->próp.	18.02.2017	4900358677
		     85,87	BRL	B-0706205	3417025	        12	ARMACAO SECUN ACO CARB 1 ESTR.150X 110MM	       85,87	B-0706205-SUPR	18.12.2018	AMA204502	1059352521		     85,87	SM para projeto	18.12.2018	4901074957
		-12,60	BRL	B-0706205	3417025	-2	ARMACAO SECUN ACO CARB 1 ESTR.150X 110MM	-12,60	B-0706205-SUPR	10.10.2019	EPC532866	1064095603		-12,60	DM para projeto	10.10.2019	4900839411
		-21,48	BRL	B-0706205	3417025	-3	ARMACAO SECUN ACO CARB 1 ESTR.150X 110MM	-21,48	B-0706205-SUPR	10.10.2019	EPC532866	1064095603		-21,48	DM para projeto	10.10.2019	4900839411
		-50,12	BRL	B-0706205	3417025	-7	ARMACAO SECUN ACO CARB 1 ESTR.150X 110MM	-50,12	B-0706205-SUPR	08.01.2020	EPC398505	1065436913		-50,12	DM para projeto	08.01.2020	4900010183
		-14,32	BRL	B-0706205	3417025	-2	ARMACAO SECUN ACO CARB 1 ESTR.150X 110MM	-14,32	B-0706205-SUPR	15.02.2020	EPC532866	1066062531		-14,32	DM para projeto	15.02.2020	4900109782
		     24,61	BRL	B-0706205	3417025	         2	ARMACAO SECUN ACO CARB 1 ESTR.150X 110MM	       24,61	B-0706205-SUPR	23.03.2023	STC089575	1087960065		     24,61	SM para projeto	23.03.2023	4900248959
	*			B-0706205	3417025	         2	ARMACAO SECUN ACO CARB 1 ESTR.150X 110MM	       24,55
		     94,99	BRL	B-0706205	3417035	         7	ARMACAO SECUN ACO CARB 2 ESTR 350X 310MM	       94,99	B-0706205-SUPR	09.02.2017	MAESTRO	1048060237		     94,99	Estorno proj.->próp.	09.02.2017	4900284912
		     57,35	BRL	B-0706205	3417035	         4	ARMACAO SECUN ACO CARB 2 ESTR 350X 310MM	       57,35	B-0706205-SUPR	18.12.2018	AMA204502	1059352521		     57,35	SM para projeto	18.12.2018	4901074957
		-54,28	BRL	B-0706205	3417035	-4	ARMACAO SECUN ACO CARB 2 ESTR 350X 310MM	-54,28	B-0706205-SUPR	10.10.2019	EPC532866	1064095605		-54,28	DM para projeto	10.10.2019	4900839413
		     71,72	BRL	B-0706205	3417035	         5	ARMACAO SECUN ACO CARB 2 ESTR 350X 310MM	       71,72	B-0706205-SUPR	23.03.2023	STC089575	1087960065		     71,72	SM para projeto	23.03.2023	4900248959
		-57,36	BRL	B-0706205	3417035	-4	ARMACAO SECUN ACO CARB 2 ESTR 350X 310MM	-57,36	B-0706205-SUPR	07.02.2020	EPC862541	1065958369		-57,36	DM para projeto	07.02.2020	4900088804
		-40,71	BRL	B-0706205	3417035	-3	ARMACAO SECUN ACO CARB 2 ESTR 350X 310MM	-40,71	B-0706205-SUPR	07.02.2020	EPC862541	1065958369		-40,71	DM para projeto	07.02.2020	4900088804
		     28,67	BRL	B-0706205	3417035	         2	ARMACAO SECUN ACO CARB 2 ESTR 350X 310MM	       28,67	B-0706205-SUPR	16.02.2023	STC967501	1086982307		     28,67	SM para projeto	16.02.2023	4900145139
	*			B-0706205	3417035	         7	ARMACAO SECUN ACO CARB 2 ESTR 350X 310MM	      100,38
		     17,57	BRL	B-0706205	3419030	         4	SELA CRUZETA 110X116MM	       17,57	B-0706205-SUPR	09.02.2017	MAESTRO	1048060237		     17,57	Estorno proj.->próp.	09.02.2017	4900284912
		     20,45	BRL	B-0706205	3419030	         4	SELA CRUZETA 110X116MM	       20,45	B-0706205-SUPR	18.12.2018	AMA204502	1059352521		     20,45	SM para projeto	18.12.2018	4901074957
		-17,56	BRL	B-0706205	3419030	-4	SELA CRUZETA 110X116MM	-17,56	B-0706205-SUPR	09.01.2020	EPC398505	1065446688		-17,56	DM para projeto	09.01.2020	4900011304
		-20,44	BRL	B-0706205	3419030	-4	SELA CRUZETA 110X116MM	-20,44	B-0706205-SUPR	09.01.2020	EPC398505	1065446688		-20,44	DM para projeto	09.01.2020	4900011304
		     30,88	BRL	B-0706205	3419030	         4	SELA CRUZETA 110X116MM	       30,88	B-0706205-SUPR	23.03.2023	STC089575	1087960065		     30,88	SM para projeto	23.03.2023	4900248959
	*			B-0706205	3419030	         4	SELA CRUZETA 110X116MM	       30,90
		    206,71	BRL	B-0706205	3419162	         2	SUPORTE RETANG TRAFO 185X 95MM	      206,71	B-0706205-SUPR	10.04.2023	STC089575	1088467450		    206,71	SM para projeto	10.04.2023	4900294919
	*			B-0706205	3419162	         2	SUPORTE RETANG TRAFO 185X 95MM	      206,71
		    207,85	BRL	B-0706205	3419168	         2	SUPORTE RETANG TRAFO 195X100MM	      207,85	B-0706205-SUPR	10.04.2023	STC089575	1088467450		    207,85	SM para projeto	10.04.2023	4900294919
	*			B-0706205	3419168	         2	SUPORTE RETANG TRAFO 195X100MM	      207,85
		    122,96	BRL	B-0706205	3420090	        21	MANILHA SAPATILHA ACO  5000DAN	      122,96	B-0706205-SUPR	30.03.2017	MAESTRO	1048938886		    122,96	Estorno proj.->próp.	30.03.2017	4900705269
		     57,28	BRL	B-0706205	3420090	        10	MANILHA SAPATILHA ACO  5000DAN	       57,28	B-0706205-SUPR	18.12.2018	AMA204502	1059352521		     57,28	SM para projeto	18.12.2018	4901074957
		-58,60	BRL	B-0706205	3420090	-10	MANILHA SAPATILHA ACO  5000DAN	-58,60	B-0706205-SUPR	08.01.2020	EPC398505	1065436913		-58,60	DM para projeto	08.01.2020	4900010183
		-57,30	BRL	B-0706205	3420090	-10	MANILHA SAPATILHA ACO  5000DAN	-57,30	B-0706205-SUPR	11.02.2020	EPC532866	1065992015		-57,30	DM para projeto	11.02.2020	4900095067
		-64,46	BRL	B-0706205	3420090	-11	MANILHA SAPATILHA ACO  5000DAN	-64,46	B-0706205-SUPR	11.02.2020	EPC532866	1065992015		-64,46	DM para projeto	11.02.2020	4900095067
		    266,14	BRL	B-0706205	3420090	        21	MANILHA SAPATILHA ACO  5000DAN	      266,14	B-0706205-SUPR	05.04.2023	STC089575	1088420448		    266,14	SM para projeto	05.04.2023	4900287516
	*			B-0706205	3420090	        21	MANILHA SAPATILHA ACO  5000DAN	      266,02
		     10,72	BRL	B-0706205	3421010	        10	SAPATILHA CABO 9,5MM	       10,72	B-0706205-SUPR	09.02.2017	MAESTRO	1048060237		     10,72	Estorno proj.->próp.	09.02.2017	4900284912
		-10,70	BRL	B-0706205	3421010	-10	SAPATILHA CABO 9,5MM	-10,70	B-0706205-SUPR	09.01.2020	EPC398505	1065446688		-10,70	DM para projeto	09.01.2020	4900011304
		     24,35	BRL	B-0706205	3421010	        10	SAPATILHA CABO 9,5MM	       24,35	B-0706205-SUPR	23.03.2023	STC089575	1087960065		     24,35	SM para projeto	23.03.2023	4900248959
	*			B-0706205	3421010	        10	SAPATILHA CABO 9,5MM	       24,37
		    186,39	BRL	B-0706205	3423030	        36	GANCHO SUSP OLHAL   5000DAN	      186,39	B-0706205-SUPR	09.02.2017	MAESTRO	1048060237		    186,39	Estorno proj.->próp.	09.02.2017	4900284912
		    222,64	BRL	B-0706205	3423030	        44	GANCHO SUSP OLHAL   5000DAN	      222,64	B-0706205-SUPR	18.12.2018	AMA204502	1059352521		    222,64	SM para projeto	18.12.2018	4901074957
		-40,48	BRL	B-0706205	3423030	-8	GANCHO SUSP OLHAL   5000DAN	-40,48	B-0706205-SUPR	08.01.2020	EPC398505	1065436913		-40,48	DM para projeto	08.01.2020	4900010183
		-186,48	BRL	B-0706205	3423030	-36	GANCHO SUSP OLHAL   5000DAN	-186,48	B-0706205-SUPR	08.01.2020	EPC398505	1065436913		-186,48	DM para projeto	08.01.2020	4900010183
		-182,16	BRL	B-0706205	3423030	-36	GANCHO SUSP OLHAL   5000DAN	-182,16	B-0706205-SUPR	11.02.2020	EPC532866	1065992015		-182,16	DM para projeto	11.02.2020	4900095067
		    354,33	BRL	B-0706205	3423030	        36	GANCHO SUSP OLHAL   5000DAN	      354,33	B-0706205-SUPR	23.03.2023	STC089575	1087960065		    354,33	SM para projeto	23.03.2023	4900248959
	*			B-0706205	3423030	        36	GANCHO SUSP OLHAL   5000DAN	      354,24
		    223,16	BRL	B-0706205	3428086	        24	PINO ISOL ACO 16,0MM 168,5X 28,5X 140MM	      223,16	B-0706205-SUPR	15.03.2023	STC089575	1087695811		    223,16	SM para projeto	15.03.2023	4900223752
		    418,26	BRL	B-0706205	3428086	        45	PINO ISOL ACO 16,0MM 168,5X 28,5X 140MM	      418,26	B-0706205-SUPR	24.03.2023	STC089575	1088005610		    418,26	SM para projeto	24.03.2023	4900254555
		    185,93	BRL	B-0706205	3428086	        20	PINO ISOL ACO 16,0MM 168,5X 28,5X 140MM	      185,93	B-0706205-SUPR	17.03.2023	STC089575	1087751399		    185,93	SM para projeto	17.03.2023	4900233136
		    223,11	BRL	B-0706205	3428086	        24	PINO ISOL ACO 16,0MM 168,5X 28,5X 140MM	      223,11	B-0706205-SUPR	17.03.2023	STC089575	1087751399		    223,11	SM para projeto	17.03.2023	4900233136
		    185,99	BRL	B-0706205	3428086	        20	PINO ISOL ACO 16,0MM 168,5X 28,5X 140MM	      185,99	B-0706205-SUPR	13.03.2023	STC089575	1087642820		    185,99	SM para projeto	13.03.2023	4900210934
	*			B-0706205	3428086	       133	PINO ISOL ACO 16,0MM 168,5X 28,5X 140MM	    1.236,45
		    316,36	BRL	B-0706205	3428220	        39	PINO ISOLADOR RETO NORMAL ACO 15,0KV.	      316,36	B-0706205-SUPR	13.02.2017	MAESTRO	1048114670		    316,36	Estorno proj.->próp.	13.02.2017	4900315078
		-316,29	BRL	B-0706205	3428220	-39	PINO ISOLADOR RETO NORMAL ACO 15,0KV.	-316,29	B-0706205-SUPR	09.01.2020	EPC398505	1065446688		-316,29	DM para projeto	09.01.2020	4900011304
